p_success_stat,p_success_id,P_help_statistical,P_help_identified,u_saved,cost_stat,cost_id,beta
0.2625,0.645,0.05990177937120187,0.9203831980839806,2.0,0.5,0.15,5.0
0.2625,0.67375,0.05990177937120187,0.9442779491345873,2.0,0.5,0.15,5.0
0.2625,0.7024999999999999,0.05990177937120187,0.9619969271857791,2.0,0.5,0.15,5.0
0.2625,0.73125,0.05990177937120187,0.9747275229505237,2.0,0.5,0.15,5.0
0.2625,0.76,0.05990177937120187,0.9836106815213036,2.0,0.5,0.15,5.0
0.2625,0.78875,0.05990177937120187,0.9896407214644687,2.0,0.5,0.15,5.0
0.2625,0.8174999999999999,0.05990177937120187,0.9936263169186242,2.0,0.5,0.15,5.0
0.2625,0.84625,0.05990177937120187,0.9961915021283869,2.0,0.5,0.15,5.0
0.2625,0.875,0.05990177937120187,0.9977979217382319,2.0,0.5,0.15,5.0
0.2625,0.90375,0.05990177937120187,0.9987751094487219,2.0,0.5,0.15,5.0
0.2625,0.9324999999999999,0.05990177937120187,0.9993509694886633,2.0,0.5,0.15,5.0
0.2625,0.9612499999999999,0.05990177937120187,0.9996786778091856,2.0,0.5,0.15,5.0
0.2625,0.99,0.05990177937120187,0.9998594760838524,2.0,0.5,0.15,5.0
0.3,0.3,0.07213669836533564,0.3091018656550243,2.0,0.5,0.15,5.0
0.3,0.32875,0.07213669836533564,0.34774880918591533,2.0,0.5,0.15,5.0
0.3,0.3575,0.07213669836533564,0.3929733167101269,2.0,0.5,0.15,5.0
0.3,0.38625,0.07213669836533564,0.44455263748230917,2.0,0.5,0.15,5.0
0.3,0.415,0.07213669836533564,0.5017165401840006,2.0,0.5,0.15,5.0
0.3,0.44375,0.07213669836533564,0.56303084497738,2.0,0.5,0.15,5.0
0.3,0.4725,0.07213669836533564,0.6264063130419393,2.0,0.5,0.15,5.0
0.3,0.50125,0.07213669836533564,0.689285211402123,2.0,0.5,0.15,5.0
0.3,0.53,0.07213669836533564,0.7489968905949634,2.0,0.5,0.15,5.0
0.3,0.55875,0.07213669836533564,0.8031911197483117,2.0,0.5,0.15,5.0
0.3,0.5874999999999999,0.07213669836533564,0.8502065853230385,2.0,0.5,0.15,5.0
0.3,0.61625,0.07213669836533564,0.8892545664382339,2.0,0.5,0.15,5.0
0.3,0.645,0.07213669836533564,0.9203831980839806,2.0,0.5,0.15,5.0
0.3,0.67375,0.07213669836533564,0.9442779491345873,2.0,0.5,0.15,5.0
0.3,0.7024999999999999,0.07213669836533564,0.9619969271857791,2.0,0.5,0.15,5.0
0.3,0.73125,0.07213669836533564,0.9747275229505237,2.0,0.5,0.15,5.0
0.3,0.76,0.07213669836533564,0.9836106815213036,2.0,0.5,0.15,5.0
0.3,0.78875,0.07213669836533564,0.9896407214644687,2.0,0.5,0.15,5.0
0.3,0.8174999999999999,0.07213669836533564,0.9936263169186242,2.0,0.5,0.15,5.0
0.3,0.84625,0.07213669836533564,0.9961915021283869,2.0,0.5,0.15,5.0
0.3,0.875,0.07213669836533564,0.9977979217382319,2.0,0.5,0.15,5.0
0.3,0.90375,0.07213669836533564,0.9987751094487219,2.0,0.5,0.15,5.0
0.3,0.9324999999999999,0.07213669836533564,0.9993509694886633,2.0,0.5,0.15,5.0
0.3,0.9612499999999999,0.07213669836533564,0.9996786778091856,2.0,0.5,0.15,5.0
0.3,0.99,0.07213669836533564,0.9998594760838524,2.0,0.5,0.15,5.0
0.33749999999999997,0.3,0.08933217339655183,0.3091018656550243,2.0,0.5,0.15,5.0
0.33749999999999997,0.32875,0.08933217339655183,0.34774880918591533,2.0,0.5,0.15,5.0
0.33749999999999997,0.3575,0.08933217339655183,0.3929733167101269,2.0,0.5,0.15,5.0
0.33749999999999997,0.38625,0.08933217339655183,0.44455263748230917,2.0,0.5,0.15,5.0
0.33749999999999997,0.415,0.08933217339655183,0.5017165401840006,2.0,0.5,0.15,5.0
0.33749999999999997,0.44375,0.08933217339655183,0.56303084497738,2.0,0.5,0.15,5.0
0.33749999999999997,0.4725,0.08933217339655183,0.6264063130419393,2.0,0.5,0.15,5.0
0.33749999999999997,0.50125,0.08933217339655183,0.689285211402123,2.0,0.5,0.15,5.0
0.33749999999999997,0.53,0.08933217339655183,0.7489968905949634,2.0,0.5,0.15,5.0
0.33749999999999997,0.55875,0.08933217339655183,0.8031911197483117,2.0,0.5,0.15,5.0
0.33749999999999997,0.5874999999999999,0.08933217339655183,0.8502065853230385,2.0,0.5,0.15,5.0
0.33749999999999997,0.61625,0.08933217339655183,0.8892545664382339,2.0,0.5,0.15,5.0
0.33749999999999997,0.645,0.08933217339655183,0.9203831980839806,2.0,0.5,0.15,5.0
0.33749999999999997,0.67375,0.08933217339655183,0.9442779491345873,2.0,0.5,0.15,5.0
0.33749999999999997,0.7024999999999999,0.08933217339655183,0.9619969271857791,2.0,0.5,0.15,5.0
0.33749999999999997,0.73125,0.08933217339655183,0.9747275229505237,2.0,0.5,0.15,5.0
0.33749999999999997,0.76,0.08933217339655183,0.9836106815213036,2.0,0.5,0.15,5.0
0.33749999999999997,0.78875,0.08933217339655183,0.9896407214644687,2.0,0.5,0.15,5.0
0.33749999999999997,0.8174999999999999,0.08933217339655183,0.9936263169186242,2.0,0.5,0.15,5.0
0.33749999999999997,0.84625,0.08933217339655183,0.9961915021283869,2.0,0.5,0.15,5.0
0.33749999999999997,0.875,0.08933217339655183,0.9977979217382319,2.0,0.5,0.15,5.0
0.33749999999999997,0.90375,0.08933217339655183,0.9987751094487219,2.0,0.5,0.15,5.0
0.33749999999999997,0.9324999999999999,0.08933217339655183,0.9993509694886633,2.0,0.5,0.15,5.0
0.33749999999999997,0.9612499999999999,0.08933217339655183,0.9996786778091856,2.0,0.5,0.15,5.0
0.33749999999999997,0.99,0.08933217339655183,0.9998594760838524,2.0,0.5,0.15,5.0
0.375,0.3,0.11326497801307023,0.3091018656550243,2.0,0.5,0.15,5.0
0.375,0.32875,0.11326497801307023,0.34774880918591533,2.0,0.5,0.15,5.0
0.375,0.3575,0.11326497801307023,0.3929733167101269,2.0,0.5,0.15,5.0
0.375,0.38625,0.11326497801307023,0.44455263748230917,2.0,0.5,0.15,5.0
0.375,0.415,0.11326497801307023,0.5017165401840006,2.0,0.5,0.15,5.0
0.375,0.44375,0.11326497801307023,0.56303084497738,2.0,0.5,0.15,5.0
0.375,0.4725,0.11326497801307023,0.6264063130419393,2.0,0.5,0.15,5.0
0.375,0.50125,0.11326497801307023,0.689285211402123,2.0,0.5,0.15,5.0
0.375,0.53,0.11326497801307023,0.7489968905949634,2.0,0.5,0.15,5.0
0.375,0.55875,0.11326497801307023,0.8031911197483117,2.0,0.5,0.15,5.0
0.375,0.5874999999999999,0.11326497801307023,0.8502065853230385,2.0,0.5,0.15,5.0
0.375,0.61625,0.11326497801307023,0.8892545664382339,2.0,0.5,0.15,5.0
0.375,0.645,0.11326497801307023,0.9203831980839806,2.0,0.5,0.15,5.0
0.375,0.67375,0.11326497801307023,0.9442779491345873,2.0,0.5,0.15,5.0
0.375,0.7024999999999999,0.11326497801307023,0.9619969271857791,2.0,0.5,0.15,5.0
0.375,0.73125,0.11326497801307023,0.9747275229505237,2.0,0.5,0.15,5.0
0.375,0.76,0.11326497801307023,0.9836106815213036,2.0,0.5,0.15,5.0
0.375,0.78875,0.11326497801307023,0.9896407214644687,2.0,0.5,0.15,5.0
0.375,0.8174999999999999,0.11326497801307023,0.9936263169186242,2.0,0.5,0.15,5.0
0.375,0.84625,0.11326497801307023,0.9961915021283869,2.0,0.5,0.15,5.0
0.375,0.875,0.11326497801307023,0.9977979217382319,2.0,0.5,0.15,5.0
0.375,0.90375,0.11326497801307023,0.9987751094487219,2.0,0.5,0.15,5.0
0.375,0.9324999999999999,0.11326497801307023,0.9993509694886633,2.0,0.5,0.15,5.0
0.375,0.9612499999999999,0.11326497801307023,0.9996786778091856,2.0,0.5,0.15,5.0
0.375,0.99,0.11326497801307023,0.9998594760838524,2.0,0.5,0.15,5.0
0.4125,0.3,0.1463178346148289,0.3091018656550243,2.0,0.5,0.15,5.0
0.4125,0.32875,0.1463178346148289,0.34774880918591533,2.0,0.5,0.15,5.0
0.4125,0.3575,0.1463178346148289,0.3929733167101269,2.0,0.5,0.15,5.0
0.4125,0.38625,0.1463178346148289,0.44455263748230917,2.0,0.5,0.15,5.0
0.4125,0.415,0.1463178346148289,0.5017165401840006,2.0,0.5,0.15,5.0
0.4125,0.44375,0.1463178346148289,0.56303084497738,2.0,0.5,0.15,5.0
0.4125,0.4725,0.1463178346148289,0.6264063130419393,2.0,0.5,0.15,5.0
0.4125,0.50125,0.1463178346148289,0.689285211402123,2.0,0.5,0.15,5.0
0.4125,0.53,0.1463178346148289,0.7489968905949634,2.0,0.5,0.15,5.0
0.4125,0.55875,0.1463178346148289,0.8031911197483117,2.0,0.5,0.15,5.0
0.4125,0.5874999999999999,0.1463178346148289,0.8502065853230385,2.0,0.5,0.15,5.0
0.4125,0.61625,0.1463178346148289,0.8892545664382339,2.0,0.5,0.15,5.0
0.4125,0.645,0.1463178346148289,0.9203831980839806,2.0,0.5,0.15,5.0
0.4125,0.67375,0.1463178346148289,0.9442779491345873,2.0,0.5,0.15,5.0
0.4125,0.7024999999999999,0.1463178346148289,0.9619969271857791,2.0,0.5,0.15,5.0
0.4125,0.73125,0.1463178346148289,0.9747275229505237,2.0,0.5,0.15,5.0
0.4125,0.76,0.1463178346148289,0.9836106815213036,2.0,0.5,0.15,5.0
0.4125,0.78875,0.1463178346148289,0.9896407214644687,2.0,0.5,0.15,5.0
0.4125,0.8174999999999999,0.1463178346148289,0.9936263169186242,2.0,0.5,0.15,5.0
0.4125,0.84625,0.1463178346148289,0.9961915021283869,2.0,0.5,0.15,5.0
0.4125,0.875,0.1463178346148289,0.9977979217382319,2.0,0.5,0.15,5.0
0.4125,0.90375,0.1463178346148289,0.9987751094487219,2.0,0.5,0.15,5.0
0.4125,0.9324999999999999,0.1463178346148289,0.9993509694886633,2.0,0.5,0.15,5.0
0.4125,0.9612499999999999,0.1463178346148289,0.9996786778091856,2.0,0.5,0.15,5.0
0.4125,0.99,0.1463178346148289,0.9998594760838524,2.0,0.5,0.15,5.0
0.44999999999999996,0.3,0.19143789107608475,0.3091018656550243,2.0,0.5,0.15,5.0
0.44999999999999996,0.32875,0.19143789107608475,0.34774880918591533,2.0,0.5,0.15,5.0
0.44999999999999996,0.3575,0.19143789107608475,0.3929733167101269,2.0,0.5,0.15,5.0
0.44999999999999996,0.38625,0.19143789107608475,0.44455263748230917,2.0,0.5,0.15,5.0
0.44999999999999996,0.415,0.19143789107608475,0.5017165401840006,2.0,0.5,0.15,5.0
0.44999999999999996,0.44375,0.19143789107608475,0.56303084497738,2.0,0.5,0.15,5.0
0.44999999999999996,0.4725,0.19143789107608475,0.6264063130419393,2.0,0.5,0.15,5.0
